b1,b2,b3,b4,b5,attacker,defender
162,107,187,6318.0,11685.0,flutter-mane,flutter-mane
163,166,112,6318.0,11685.0,flutter-mane,iron-bundle
261,160,120,6318.0,11685.0,flutter-mane,iron-hands
222,183,105,6318.0,11685.0,flutter-mane,great-tusk
194,147,143,6318.0,11685.0,flutter-mane,gholdengo
221,122,132,6318.0,11685.0,flutter-mane,amoonguss
197,132,132,6318.0,11685.0,flutter-mane,arcanine
257,167,117,6318.0,11685.0,flutter-mane,dondozo
175,112,147,6318.0,11685.0,flutter-mane,tatsugiri
198,147,152,6318.0,11685.0,flutter-mane,dragonite
212,123,153,6318.0,11685.0,flutter-mane,roaring-moon
207,172,137,6318.0,11685.0,flutter-mane,kingambit
162,107,187,6960.0,12738.0,iron-bundle,flutter-mane
163,166,112,6960.0,12738.0,iron-bundle,iron-bundle
261,160,120,6960.0,12738.0,iron-bundle,iron-hands
222,183,105,6960.0,12738.0,iron-bundle,great-tusk
194,147,143,6960.0,12738.0,iron-bundle,gholdengo
221,122,132,6960.0,12738.0,iron-bundle,amoonguss
197,132,132,6960.0,12738.0,iron-bundle,arcanine
257,167,117,6960.0,12738.0,iron-bundle,dondozo
175,112,147,6960.0,12738.0,iron-bundle,tatsugiri
198,147,152,6960.0,12738.0,iron-bundle,dragonite
212,123,153,6960.0,12738.0,iron-bundle,roaring-moon
207,172,137,6960.0,12738.0,iron-bundle,kingambit
162,107,187,18990.0,8064.0,iron-hands,flutter-mane
163,166,112,18990.0,8064.0,iron-hands,iron-bundle
261,160,120,18990.0,8064.0,iron-hands,iron-hands
222,183,105,18990.0,8064.0,iron-hands,great-tusk
194,147,143,18990.0,8064.0,iron-hands,gholdengo
221,122,132,18990.0,8064.0,iron-hands,amoonguss
197,132,132,18990.0,8064.0,iron-hands,arcanine
257,167,117,18990.0,8064.0,iron-hands,dondozo
175,112,147,18990.0,8064.0,iron-hands,tatsugiri
198,147,152,18990.0,8064.0,iron-hands,dragonite
212,123,153,18990.0,8064.0,iron-hands,roaring-moon
207,172,137,18990.0,8064.0,iron-hands,kingambit
162,107,187,14472.0,6210.0,great-tusk,flutter-mane
163,166,112,14472.0,6210.0,great-tusk,iron-bundle
261,160,120,14472.0,6210.0,great-tusk,iron-hands
222,183,105,14472.0,6210.0,great-tusk,great-tusk
194,147,143,14472.0,6210.0,great-tusk,gholdengo
221,122,132,14472.0,6210.0,great-tusk,amoonguss
197,132,132,14472.0,6210.0,great-tusk,arcanine
257,167,117,14472.0,6210.0,great-tusk,dondozo
175,112,147,14472.0,6210.0,great-tusk,tatsugiri
198,147,152,14472.0,6210.0,great-tusk,dragonite
212,123,153,14472.0,6210.0,great-tusk,roaring-moon
207,172,137,14472.0,6210.0,great-tusk,kingambit
162,107,187,5904.0,17052.0,gholdengo,flutter-mane
163,166,112,5904.0,17052.0,gholdengo,iron-bundle
261,160,120,5904.0,17052.0,gholdengo,iron-hands
222,183,105,5904.0,17052.0,gholdengo,great-tusk
194,147,143,5904.0,17052.0,gholdengo,gholdengo
221,122,132,5904.0,17052.0,gholdengo,amoonguss
197,132,132,5904.0,17052.0,gholdengo,arcanine
257,167,117,5904.0,17052.0,gholdengo,dondozo
175,112,147,5904.0,17052.0,gholdengo,tatsugiri
198,147,152,5904.0,17052.0,gholdengo,dragonite
212,123,153,5904.0,17052.0,gholdengo,roaring-moon
207,172,137,5904.0,17052.0,gholdengo,kingambit
162,107,187,7200.0,11700.0,amoonguss,flutter-mane
163,166,112,7200.0,11700.0,amoonguss,iron-bundle
261,160,120,7200.0,11700.0,amoonguss,iron-hands
222,183,105,7200.0,11700.0,amoonguss,great-tusk
194,147,143,7200.0,11700.0,amoonguss,gholdengo
221,122,132,7200.0,11700.0,amoonguss,amoonguss
197,132,132,7200.0,11700.0,amoonguss,arcanine
257,167,117,7200.0,11700.0,amoonguss,dondozo
175,112,147,7200.0,11700.0,amoonguss,tatsugiri
198,147,152,7200.0,11700.0,amoonguss,dragonite
212,123,153,7200.0,11700.0,amoonguss,roaring-moon
207,172,137,7200.0,11700.0,amoonguss,kingambit
162,107,187,12816.0,13026.0,arcanine,flutter-mane
163,166,112,12816.0,13026.0,arcanine,iron-bundle
261,160,120,12816.0,13026.0,arcanine,iron-hands
222,183,105,12816.0,13026.0,arcanine,great-tusk
194,147,143,12816.0,13026.0,arcanine,gholdengo
221,122,132,12816.0,13026.0,arcanine,amoonguss
197,132,132,12816.0,13026.0,arcanine,arcanine
257,167,117,12816.0,13026.0,arcanine,dondozo
175,112,147,12816.0,13026.0,arcanine,tatsugiri
198,147,152,12816.0,13026.0,arcanine,dragonite
212,123,153,12816.0,13026.0,arcanine,roaring-moon
207,172,137,12816.0,13026.0,arcanine,kingambit
162,107,187,12024.0,8448.0,dondozo,flutter-mane
163,166,112,12024.0,8448.0,dondozo,iron-bundle
261,160,120,12024.0,8448.0,dondozo,iron-hands
222,183,105,12024.0,8448.0,dondozo,great-tusk
194,147,143,12024.0,8448.0,dondozo,gholdengo
221,122,132,12024.0,8448.0,dondozo,amoonguss
197,132,132,12024.0,8448.0,dondozo,arcanine
257,167,117,12024.0,8448.0,dondozo,dondozo
175,112,147,12024.0,8448.0,dondozo,tatsugiri
198,147,152,12024.0,8448.0,dondozo,dragonite
212,123,153,12024.0,8448.0,dondozo,roaring-moon
207,172,137,12024.0,8448.0,dondozo,kingambit
162,107,187,8064.0,14742.0,tatsugiri,flutter-mane
163,166,112,8064.0,14742.0,tatsugiri,iron-bundle
261,160,120,8064.0,14742.0,tatsugiri,iron-hands
222,183,105,8064.0,14742.0,tatsugiri,great-tusk
194,147,143,8064.0,14742.0,tatsugiri,gholdengo
221,122,132,8064.0,14742.0,tatsugiri,amoonguss
197,132,132,8064.0,14742.0,tatsugiri,arcanine
257,167,117,8064.0,14742.0,tatsugiri,dondozo
175,112,147,8064.0,14742.0,tatsugiri,tatsugiri
198,147,152,8064.0,14742.0,tatsugiri,dragonite
212,123,153,8064.0,14742.0,tatsugiri,roaring-moon
207,172,137,8064.0,14742.0,tatsugiri,kingambit
162,107,187,14688.0,13026.0,dragonite,flutter-mane
163,166,112,14688.0,13026.0,dragonite,iron-bundle
261,160,120,14688.0,13026.0,dragonite,iron-hands
222,183,105,14688.0,13026.0,dragonite,great-tusk
194,147,143,14688.0,13026.0,dragonite,gholdengo
221,122,132,14688.0,13026.0,dragonite,amoonguss
197,132,132,14688.0,13026.0,dragonite,arcanine
257,167,117,14688.0,13026.0,dragonite,dondozo
175,112,147,14688.0,13026.0,dragonite,tatsugiri
198,147,152,14688.0,13026.0,dragonite,dragonite
212,123,153,14688.0,13026.0,dragonite,roaring-moon
207,172,137,14688.0,13026.0,dragonite,kingambit
162,107,187,15120.0,9126.0,roaring-moon,flutter-mane
163,166,112,15120.0,9126.0,roaring-moon,iron-bundle
261,160,120,15120.0,9126.0,roaring-moon,iron-hands
222,183,105,15120.0,9126.0,roaring-moon,great-tusk
194,147,143,15120.0,9126.0,roaring-moon,gholdengo
221,122,132,15120.0,9126.0,roaring-moon,amoonguss
197,132,132,15120.0,9126.0,roaring-moon,arcanine
257,167,117,15120.0,9126.0,roaring-moon,dondozo
175,112,147,15120.0,9126.0,roaring-moon,tatsugiri
198,147,152,15120.0,9126.0,roaring-moon,dragonite
212,123,153,15120.0,9126.0,roaring-moon,roaring-moon
207,172,137,15120.0,9126.0,roaring-moon,kingambit
162,107,187,11685.0,10332.0,kingambit,flutter-mane
163,166,112,11685.0,10332.0,kingambit,iron-bundle
261,160,120,11685.0,10332.0,kingambit,iron-hands
222,183,105,11685.0,10332.0,kingambit,great-tusk
194,147,143,11685.0,10332.0,kingambit,gholdengo
221,122,132,11685.0,10332.0,kingambit,amoonguss
197,132,132,11685.0,10332.0,kingambit,arcanine
257,167,117,11685.0,10332.0,kingambit,dondozo
175,112,147,11685.0,10332.0,kingambit,tatsugiri
198,147,152,11685.0,10332.0,kingambit,dragonite
212,123,153,11685.0,10332.0,kingambit,roaring-moon
207,172,137,11685.0,10332.0,kingambit,kingambit
