b1,b2,b3,b4,b5,attacker,defender
162,107,187,5778.0,10659.0,flutter-mane,flutter-mane
163,166,112,5778.0,10659.0,flutter-mane,iron-bundle
261,160,120,5778.0,10659.0,flutter-mane,iron-hands
222,183,105,5778.0,10659.0,flutter-mane,great-tusk
194,147,143,5778.0,10659.0,flutter-mane,gholdengo
221,122,132,5778.0,10659.0,flutter-mane,amoonguss
197,132,132,5778.0,10659.0,flutter-mane,arcanine
257,167,117,5778.0,10659.0,flutter-mane,dondozo
175,112,147,5778.0,10659.0,flutter-mane,tatsugiri
198,147,152,5778.0,10659.0,flutter-mane,dragonite
212,123,153,5778.0,10659.0,flutter-mane,roaring-moon
207,172,137,5778.0,10659.0,flutter-mane,kingambit
162,107,187,6336.0,11616.0,iron-bundle,flutter-mane
163,166,112,6336.0,11616.0,iron-bundle,iron-bundle
261,160,120,6336.0,11616.0,iron-bundle,iron-hands
222,183,105,6336.0,11616.0,iron-bundle,great-tusk
194,147,143,6336.0,11616.0,iron-bundle,gholdengo
221,122,132,6336.0,11616.0,iron-bundle,amoonguss
197,132,132,6336.0,11616.0,iron-bundle,arcanine
257,167,117,6336.0,11616.0,iron-bundle,dondozo
175,112,147,6336.0,11616.0,iron-bundle,tatsugiri
198,147,152,6336.0,11616.0,iron-bundle,dragonite
212,123,153,6336.0,11616.0,iron-bundle,roaring-moon
207,172,137,6336.0,11616.0,iron-bundle,kingambit
162,107,187,17280.0,7344.0,iron-hands,flutter-mane
163,166,112,17280.0,7344.0,iron-hands,iron-bundle
261,160,120,17280.0,7344.0,iron-hands,iron-hands
222,183,105,17280.0,7344.0,iron-hands,great-tusk
194,147,143,17280.0,7344.0,iron-hands,gholdengo
221,122,132,17280.0,7344.0,iron-hands,amoonguss
197,132,132,17280.0,7344.0,iron-hands,arcanine
257,167,117,17280.0,7344.0,iron-hands,dondozo
175,112,147,17280.0,7344.0,iron-hands,tatsugiri
198,147,152,17280.0,7344.0,iron-hands,dragonite
212,123,153,17280.0,7344.0,iron-hands,roaring-moon
207,172,137,17280.0,7344.0,iron-hands,kingambit
162,107,187,13176.0,5670.0,great-tusk,flutter-mane
163,166,112,13176.0,5670.0,great-tusk,iron-bundle
261,160,120,13176.0,5670.0,great-tusk,iron-hands
222,183,105,13176.0,5670.0,great-tusk,great-tusk
194,147,143,13176.0,5670.0,great-tusk,gholdengo
221,122,132,13176.0,5670.0,great-tusk,amoonguss
197,132,132,13176.0,5670.0,great-tusk,arcanine
257,167,117,13176.0,5670.0,great-tusk,dondozo
175,112,147,13176.0,5670.0,great-tusk,tatsugiri
198,147,152,13176.0,5670.0,great-tusk,dragonite
212,123,153,13176.0,5670.0,great-tusk,roaring-moon
207,172,137,13176.0,5670.0,great-tusk,kingambit
162,107,187,5376.0,15540.0,gholdengo,flutter-mane
163,166,112,5376.0,15540.0,gholdengo,iron-bundle
261,160,120,5376.0,15540.0,gholdengo,iron-hands
222,183,105,5376.0,15540.0,gholdengo,great-tusk
194,147,143,5376.0,15540.0,gholdengo,gholdengo
221,122,132,5376.0,15540.0,gholdengo,amoonguss
197,132,132,5376.0,15540.0,gholdengo,arcanine
257,167,117,5376.0,15540.0,gholdengo,dondozo
175,112,147,5376.0,15540.0,gholdengo,tatsugiri
198,147,152,5376.0,15540.0,gholdengo,dragonite
212,123,153,5376.0,15540.0,gholdengo,roaring-moon
207,172,137,5376.0,15540.0,gholdengo,kingambit
162,107,187,6576.0,10686.0,amoonguss,flutter-mane
163,166,112,6576.0,10686.0,amoonguss,iron-bundle
261,160,120,6576.0,10686.0,amoonguss,iron-hands
222,183,105,6576.0,10686.0,amoonguss,great-tusk
194,147,143,6576.0,10686.0,amoonguss,gholdengo
221,122,132,6576.0,10686.0,amoonguss,amoonguss
197,132,132,6576.0,10686.0,amoonguss,arcanine
257,167,117,6576.0,10686.0,amoonguss,dondozo
175,112,147,6576.0,10686.0,amoonguss,tatsugiri
198,147,152,6576.0,10686.0,amoonguss,dragonite
212,123,153,6576.0,10686.0,amoonguss,roaring-moon
207,172,137,6576.0,10686.0,amoonguss,kingambit
162,107,187,11664.0,11856.0,arcanine,flutter-mane
163,166,112,11664.0,11856.0,arcanine,iron-bundle
261,160,120,11664.0,11856.0,arcanine,iron-hands
222,183,105,11664.0,11856.0,arcanine,great-tusk
194,147,143,11664.0,11856.0,arcanine,gholdengo
221,122,132,11664.0,11856.0,arcanine,amoonguss
197,132,132,11664.0,11856.0,arcanine,arcanine
257,167,117,11664.0,11856.0,arcanine,dondozo
175,112,147,11664.0,11856.0,arcanine,tatsugiri
198,147,152,11664.0,11856.0,arcanine,dragonite
212,123,153,11664.0,11856.0,arcanine,roaring-moon
207,172,137,11664.0,11856.0,arcanine,kingambit
162,107,187,10944.0,7722.0,dondozo,flutter-mane
163,166,112,10944.0,7722.0,dondozo,iron-bundle
261,160,120,10944.0,7722.0,dondozo,iron-hands
222,183,105,10944.0,7722.0,dondozo,great-tusk
194,147,143,10944.0,7722.0,dondozo,gholdengo
221,122,132,10944.0,7722.0,dondozo,amoonguss
197,132,132,10944.0,7722.0,dondozo,arcanine
257,167,117,10944.0,7722.0,dondozo,dondozo
175,112,147,10944.0,7722.0,dondozo,tatsugiri
198,147,152,10944.0,7722.0,dondozo,dragonite
212,123,153,10944.0,7722.0,dondozo,roaring-moon
207,172,137,10944.0,7722.0,dondozo,kingambit
162,107,187,7344.0,13416.0,tatsugiri,flutter-mane
163,166,112,7344.0,13416.0,tatsugiri,iron-bundle
261,160,120,7344.0,13416.0,tatsugiri,iron-hands
222,183,105,7344.0,13416.0,tatsugiri,great-tusk
194,147,143,7344.0,13416.0,tatsugiri,gholdengo
221,122,132,7344.0,13416.0,tatsugiri,amoonguss
197,132,132,7344.0,13416.0,tatsugiri,arcanine
257,167,117,7344.0,13416.0,tatsugiri,dondozo
175,112,147,7344.0,13416.0,tatsugiri,tatsugiri
198,147,152,7344.0,13416.0,tatsugiri,dragonite
212,123,153,7344.0,13416.0,tatsugiri,roaring-moon
207,172,137,7344.0,13416.0,tatsugiri,kingambit
162,107,187,13392.0,11856.0,dragonite,flutter-mane
163,166,112,13392.0,11856.0,dragonite,iron-bundle
261,160,120,13392.0,11856.0,dragonite,iron-hands
222,183,105,13392.0,11856.0,dragonite,great-tusk
194,147,143,13392.0,11856.0,dragonite,gholdengo
221,122,132,13392.0,11856.0,dragonite,amoonguss
197,132,132,13392.0,11856.0,dragonite,arcanine
257,167,117,13392.0,11856.0,dragonite,dondozo
175,112,147,13392.0,11856.0,dragonite,tatsugiri
198,147,152,13392.0,11856.0,dragonite,dragonite
212,123,153,13392.0,11856.0,dragonite,roaring-moon
207,172,137,13392.0,11856.0,dragonite,kingambit
162,107,187,13752.0,8346.0,roaring-moon,flutter-mane
163,166,112,13752.0,8346.0,roaring-moon,iron-bundle
261,160,120,13752.0,8346.0,roaring-moon,iron-hands
222,183,105,13752.0,8346.0,roaring-moon,great-tusk
194,147,143,13752.0,8346.0,roaring-moon,gholdengo
221,122,132,13752.0,8346.0,roaring-moon,amoonguss
197,132,132,13752.0,8346.0,roaring-moon,arcanine
257,167,117,13752.0,8346.0,roaring-moon,dondozo
175,112,147,13752.0,8346.0,roaring-moon,tatsugiri
198,147,152,13752.0,8346.0,roaring-moon,dragonite
212,123,153,13752.0,8346.0,roaring-moon,roaring-moon
207,172,137,13752.0,8346.0,roaring-moon,kingambit
162,107,187,10659.0,9408.0,kingambit,flutter-mane
163,166,112,10659.0,9408.0,kingambit,iron-bundle
261,160,120,10659.0,9408.0,kingambit,iron-hands
222,183,105,10659.0,9408.0,kingambit,great-tusk
194,147,143,10659.0,9408.0,kingambit,gholdengo
221,122,132,10659.0,9408.0,kingambit,amoonguss
197,132,132,10659.0,9408.0,kingambit,arcanine
257,167,117,10659.0,9408.0,kingambit,dondozo
175,112,147,10659.0,9408.0,kingambit,tatsugiri
198,147,152,10659.0,9408.0,kingambit,dragonite
212,123,153,10659.0,9408.0,kingambit,roaring-moon
207,172,137,10659.0,9408.0,kingambit,kingambit
